,id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,rounded_datetime,rain,temperature_2m,apparent_temperature,relativehumidity_2m,cloudcover,windspeed_10m,is_day
43784,465786,8/3/2022,quarta-feira,13:45:00,RS,116.0,245.0,SAO LEOPOLDO,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,0,1,1,0,1,2,-29.74980902,-51.15125361,SPRF-RS,DEL01-RS,UOP02-DEL01-RS,03/08/2022 14:00:00,0.0,25.5,27.8,68.0,17.0,9.1,1.0
6234,451470,5/23/2022,segunda-feira,5:30:00,SP,116.0,17.0,LAVRINHAS,Ausência de reação do condutor,Saída de leito carroçável,Com Vítimas Feridas,Amanhecer,Crescente,Nevoeiro/Neblina,Dupla,Reta,Não,2,0,2,0,0,0,2,1,-22.55763946,-44.84739708,SPRF-SP,DEL08-SP,UOP02-DEL08-SP,23/05/2022 06:00:00,0.0,12.6,12.1,88.0,0.0,4.7,0.0
26624,422524,2/4/2022,sexta-feira,6:20:00,CE,20.0,431.0,FORTALEZA,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Reta,Sim,2,0,0,1,1,0,1,2,-3.76999035,-38.67006282,SPRF-CE,DEL01-CE,UOP02-DEL01-CE,04/02/2022 06:00:00,0.0,24.9,28.6,91.0,90.0,13.5,1.0
55857,484058,10/30/2022,domingo,22:00:00,RS,468.0,87.0,CAMPO NOVO,Transitar na contramão,Colisão frontal,Com Vítimas Feridas,Plena Noite,Crescente,Nevoeiro/Neblina,Simples,Reta,Não,7,0,3,3,1,0,6,3,-27.56481925,-53.85987282,SPRF-RS,DEL08-RS,UOP02-DEL08-RS,30/10/2022 22:00:00,0.0,20.1,22.9,96.0,7.0,5.4,0.0
32497,448627,5/8/2022,domingo,15:15:00,SC,101.0,458.0,SAO JOAO DO SUL,Ausência de reação do condutor,Engavetamento,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,9,0,0,0,9,0,0,3,-29.24075694,-49.75535784,SPRF-SC,DEL02-SC,UOP02-DEL02-SC,08/05/2022 15:00:00,0.0,19.5,18.5,69.0,20.0,15.5,1.0
58092,487440,11/17/2022,quinta-feira,17:00:00,SP,116.0,5.0,GUARULHOS,Ausência de reação do condutor,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,-23.463257,-46.53373,SPRF-SP,DEL01-SP,UOP01-DEL01-SP,17/11/2022 17:00:00,0.0,20.3,18.0,60.0,3.0,20.1,1.0
45675,468635,8/17/2022,quarta-feira,12:40:00,GO,153.0,442.8,ANAPOLIS,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Rotatória,Sim,2,0,0,1,1,0,1,2,-16.325272,-48.922024,SPRF-GO,DEL02-GO,UOP01-DEL02-GO,17/08/2022 13:00:00,0.0,29.4,28.0,21.0,3.0,13.3,1.0
30006,444842,4/1/2022,sexta-feira,8:20:00,RJ,101.0,578.0,PARATY,Demais Fenômenos da natureza,Eventos atípicos,Sem Vítimas,Pleno dia,Crescente,Chuva,Simples,Reta,Sim,4,0,0,0,3,1,0,3,-23.23539058,-44.71182799,SPRF-RJ,DEL03-RJ,UOP03-DEL03-RJ,01/04/2022 08:00:00,1.9,19.4,21.3,98.0,100.0,10.9,1.0
36443,454582,6/8/2022,quarta-feira,6:30:00,PB,230.0,26.0,JOAO PESSOA,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,4,0,0,2,1,1,2,3,-7.1693,-34.8782,SPRF-PB,DEL01-PB,UOP01-DEL01-PB,08/06/2022 07:00:00,0.0,23.2,26.8,91.0,48.0,7.3,1.0
36618,454884,6/9/2022,quinta-feira,18:50:00,SC,101.0,123.0,ITAJAI,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Anoitecer,Decrescente,Céu Claro,Dupla,Ponte,Sim,2,0,0,1,1,0,1,2,-26.93668609,-48.69876905,SPRF-SC,DEL04-SC,UOP04-DEL04-SC,09/06/2022 19:00:00,0.3,18.7,20.3,92.0,100.0,6.8,0.0
